"","X","Author","Study_Ref","Study_DOI","Exposure","Outcome","Instrument","Reported_Measure","Coeff_G_X","Coeff_G_X_SE","Coeff_G_Y","Coeff_G_Y_SE"
"714",714,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs563296","OR",0.016475,0.00200224,-0.0282,0.0481
"715",715,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs56902258","OR",-0.01514,0.0025129,0.1238,0.0604
"716",716,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs56959712","OR",-0.02179,0.00243962,-0.0359,0.0611
"717",717,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs5743840","OR",0.037431,0.00636901,-0.3287,0.2856
"718",718,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs575623","OR",0.022117,0.00325519,-0.1424,0.0921
"719",719,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs58038553","OR",-0.02039,0.00297065,-0.0046,0.0806
"720",720,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs581080","OR",0.017543,0.00258442,0.037,0.0679
"721",721,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs58542926","OR",-0.10318,0.00378074,0.6008,0.1028
"722",722,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs5880","OR",0.040382,0.00434159,0.0403,0.1522
"723",723,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs58839393","OR",0.017448,0.00270318,-0.0115,0.065
"724",724,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs58895965","OR",0.026745,0.00262051,0.0299,0.067
"725",725,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs595767","OR",0.01362,0.00199335,0.0389,0.0479
"726",726,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs6008191","OR",0.017833,0.00243641,0.1528,0.0669
"727",727,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs6029125","OR",-0.01817,0.00259978,-0.06,0.0786
"728",728,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs6068280","OR",0.014001,0.00212981,0.0899,0.0527
"729",729,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs6073958","OR",0.055695,0.00249344,-0.0273,0.0628
"730",730,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs6123685","OR",-0.01252,0.00228226,-0.0191,0.0559
"731",731,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs612874","OR",0.017932,0.00200123,-0.0959,0.0484
"732",732,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs61780049","OR",0.015321,0.00279276,0.0072,0.0751
"733",733,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs61785481","OR",0.011121,0.0020225,0.0302,0.0488
"734",734,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs618031","OR",-0.01636,0.00205684,-0.0578,0.0496
"735",735,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs61821643","OR",0.037388,0.0065763,0.161,0.2657
"736",736,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs61830291","OR",0.028748,0.00337913,0.049,0.0755
"737",737,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs61885960","OR",-0.03139,0.0044298,0.0623,0.0853
"738",738,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs61904855","OR",0.054067,0.00591655,-0.1979,0.1875
"739",739,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs61907563","OR",-0.0676,0.00552328,-0.0307,0.0992
"740",740,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs61975915","OR",-0.01203,0.00219827,0.0144,0.0553
"741",741,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs61993685","OR",-0.02341,0.00373997,0.0969,0.0875
"742",742,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs62064941","OR",-0.02908,0.00523486,-0.0528,0.1602
"743",743,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs62102718","OR",0.020235,0.00220142,0.0225,0.053
"744",744,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs62119319","OR",0.044949,0.00645599,-0.0032,0.2469
"745",745,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs62271373","OR",0.041964,0.00426588,0.051,0.118
"746",746,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs62397245","OR",0.014994,0.00239634,0.0053,0.0556
"747",747,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs62427982","OR",-0.01332,0.00213196,-0.064,0.0498
"748",748,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs62463387","OR",0.034381,0.00537378,-0.0039,0.1028
"749",749,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs62492368","OR",0.014162,0.00216826,-0.0177,0.0506
"750",750,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs62565259","OR",-0.0171,0.00266139,0.0359,0.0704
"751",751,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs6458869","OR",-0.01782,0.00207516,-0.0147,0.0493
"752",752,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs6465120","OR",-0.01266,0.00198481,-0.0504,0.0491
"753",753,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs6494391","OR",-0.01873,0.00239891,0.0138,0.0541
"754",754,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs6506033","OR",-0.02289,0.00383903,0.004,0.0787
"755",755,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs6517522","OR",-0.0129,0.00199242,-0.094,0.0497
"756",756,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs6532798","OR",0.013792,0.00216353,-0.0213,0.0523
"757",757,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs6562773","OR",-0.01205,0.00201057,0.0087,0.0479
"758",758,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs6572807","OR",0.012476,0.00224899,-0.1256,0.0539
"759",759,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs6690181","OR",-0.01411,0.0020781,0.0425,0.0487
"760",760,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs6700266","OR",-0.01245,0.0020932,-0.0299,0.049
"761",761,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs6708682","OR",0.012806,0.00210756,0.0462,0.053
"762",762,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs6708784","OR",-0.01291,0.00198433,-0.0203,0.0479
"763",763,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs676210","OR",-0.07352,0.00244968,-0.0043,0.0542
"764",764,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs6792725","OR",-0.01525,0.00221886,0.0214,0.0488
"765",765,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs67981690","OR",0.029923,0.00297454,0.1073,0.0611
"766",766,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs6800707","OR",0.029885,0.00253832,-0.0298,0.081
"767",767,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs6805924","OR",0.010968,0.00200571,0.0917,0.0484
"768",768,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs684773","OR",0.029113,0.00234718,0.1761,0.0666
"769",769,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs6865870","OR",0.012336,0.0021888,-0.0117,0.0522
"770",770,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs6882076","OR",0.033101,0.00206122,-0.094,0.0509
"771",771,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs6913325","OR",-0.011,0.00199701,0.1221,0.0498
"772",772,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs6924805","OR",-0.01116,0.00201991,0.0222,0.0496
"773",773,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs696825","OR",-0.02028,0.00228763,-0.0593,0.0513
"774",774,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs6968865","OR",0.014969,0.00203344,-0.0286,0.0505
"775",775,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs6977665","OR",0.013644,0.00202813,0.0791,0.048
"776",776,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs698927","OR",-0.01831,0.00256302,0.2061,0.062
"777",777,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs6995541","OR",0.027562,0.0021906,0.0391,0.0556
"778",778,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs6999569","OR",-0.08609,0.00198061,-0.1969,0.048
"779",779,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs704","OR",-0.01192,0.00198948,-0.0856,0.0484
"780",780,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs7077812","OR",0.014228,0.00250611,-0.0408,0.06
"781",781,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs7090871","OR",-0.01307,0.00202209,-0.0135,0.0497
"782",782,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs7096101","OR",-0.01325,0.00202373,-0.0448,0.0488
"783",783,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs7104819","OR",0.011335,0.00201985,-0.0427,0.0488
"784",784,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs7140110","OR",0.028317,0.00217811,-0.0341,0.0536
"785",785,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs71473777","OR",0.018706,0.00307506,-0.0357,0.074
"786",786,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs71538127","OR",0.017649,0.00303718,-0.0384,0.081
"787",787,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs71603401","OR",0.026499,0.00291753,0.2002,0.0891
"788",788,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs7210745","OR",0.022218,0.00369142,-0.077,0.1155
"789",789,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs7215055","OR",0.038923,0.00410062,-0.0061,0.0886
"790",790,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs7239575","OR",-0.01608,0.00199133,0.0229,0.0479
"791",791,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs7244","OR",0.015198,0.00261808,-0.0593,0.0631
"792",792,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs7249669","OR",0.029944,0.00537818,-0.1236,0.1462
"793",793,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs7260465","OR",-0.01584,0.0022754,0.0479,0.0541
"794",794,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs72669514","OR",0.037543,0.0046468,0.1363,0.1133
"795",795,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs72691637","OR",-0.01543,0.00256576,-0.0408,0.058
"796",796,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs7274718","OR",0.015949,0.00202919,-0.0098,0.0486
"797",797,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs72801474","OR",-0.03079,0.00344154,0.0892,0.1035
"798",798,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs72836567","OR",0.025842,0.00271408,-0.0055,0.0613
"799",799,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs72904737","OR",-0.02715,0.00351798,0.0965,0.1035
"800",800,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs729761","OR",0.017787,0.00221435,0.0298,0.0526
"801",801,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs73190070","OR",0.015146,0.00258326,-0.0678,0.0614
"802",802,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs73210895","OR",-0.01901,0.00204769,0.0117,0.0502
"803",803,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs73221948","OR",0.017224,0.00226894,0.1451,0.0561
"804",804,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs73243877","OR",0.028812,0.00265556,0.0298,0.0687
"805",805,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs733760","OR",-0.01313,0.00200802,0.0493,0.0481
"806",806,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs742036","OR",-0.01436,0.00205112,-0.0289,0.0505
"807",807,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs7424120","OR",-0.01236,0.00203065,-0.0765,0.0487
"808",808,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs74662600","OR",0.083072,0.00816751,0.0559,0.1186
"809",809,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs74897213","OR",0.026481,0.0045997,0.4447,0.1369
"810",810,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs75033071","OR",0.064335,0.00789678,-0.0576,0.3115
"811",811,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs75164422","OR",-0.0323,0.00588456,0.0617,0.1453
"812",812,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs75268115","OR",-0.02074,0.0035798,0.1424,0.082
"813",813,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs75398587","OR",-0.0252,0.00393435,0.2287,0.1238
"814",814,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs75609851","OR",-0.19912,0.0100401,-0.0556,0.2151
"815",815,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs75612388","OR",-0.03442,0.00603882,-0.1145,0.1078
"816",816,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs75679663","OR",-0.07472,0.0108045,-0.0754,0.145
"817",817,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs7588724","OR",-0.01174,0.00209824,0.0189,0.0485
"818",818,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs75919952","OR",-0.09702,0.00456283,-0.0886,0.1233
"819",819,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs7596814","OR",-0.01275,0.00217984,0.0096,0.0604
"820",820,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs75999908","OR",0.024068,0.00341552,-0.0131,0.0885
"821",821,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs7600413","OR",-0.01415,0.00200033,-0.0424,0.0479
"822",822,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs76172517","OR",-0.01778,0.0031513,-0.1147,0.0872
"823",823,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs76376430","OR",-0.01993,0.00281025,-0.026,0.0786
"824",824,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs76814754","OR",-0.04591,0.00703261,0.1012,0.2148
"825",825,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs76862947","OR",0.01276,0.00218606,0.0415,0.0534
"826",826,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs76884843","OR",-0.04799,0.00871833,-0.2422,0.2
"827",827,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs77009508","OR",0.045091,0.00379997,-0.2005,0.0996
"828",828,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs7704653","OR",0.015753,0.00224582,0.0606,0.0559
"829",829,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs77053629","OR",-0.0278,0.00454035,-0.1637,0.1309
"830",830,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs7714361","OR",0.013886,0.00236622,-0.0448,0.054
"831",831,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs77244849","OR",-0.01437,0.00214771,-0.0628,0.0547
"832",832,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs7735249","OR",0.026864,0.00315997,0.0988,0.0734
"833",833,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs775633","OR",-0.01228,0.00210125,-0.0879,0.0488
"834",834,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs77631110","OR",0.052324,0.00806548,0.0951,0.3552
"835",835,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs77638431","OR",0.016694,0.00248724,0.1102,0.0577
"836",836,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs77675968","OR",0.05379,0.0055841,0.0572,0.1127
"837",837,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs77824033","OR",-0.03008,0.00530851,0.0565,0.14
"838",838,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs7786102","OR",-0.02837,0.00220088,-0.011,0.0521
"839",839,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs78025076","OR",0.048852,0.00704119,-0.1952,0.2548
"840",840,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs78034258","OR",-0.02289,0.00390738,0.1001,0.1065
"841",841,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs78058190","OR",0.081607,0.00510649,0.0921,0.0879
"842",842,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs7826687","OR",0.029257,0.00218896,0.179,0.0539
"843",843,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs78297458","OR",-0.03696,0.00677267,0.163,0.4141
"844",844,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs7855395","OR",-0.01159,0.00200786,-0.0626,0.0486
"845",845,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs78588343","OR",-0.01552,0.0026035,-0.0017,0.0577
"846",846,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs7861679","OR",0.012203,0.00216741,-0.1346,0.0531
"847",847,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs78751065","OR",0.058396,0.00765634,-0.0989,0.2498
"848",848,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs78933533","OR",-0.05201,0.00532808,0.2428,0.1199
"849",849,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs79287178","OR",0.050095,0.00600435,0.2901,0.1218
"850",850,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs79311290","OR",0.021898,0.00338203,0.096,0.1044
"851",851,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs7947951","OR",0.019378,0.00214074,0.0037,0.0481
"852",852,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs7951019","OR",-0.03693,0.00573176,0.0776,0.1342
"853",853,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs79634051","OR",-0.04281,0.00599604,-0.2105,0.1309
"854",854,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs7966846","OR",0.013909,0.00220343,-0.0663,0.0501
"855",855,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs79778375","OR",-0.02851,0.00491782,0.2781,0.1013
"856",856,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs79859736","OR",0.03745,0.00623247,0.1159,0.1206
"857",857,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs79873985","OR",-0.04507,0.00810683,-0.4709,0.349
"858",858,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs799157","OR",-0.08567,0.00486203,-0.1594,0.1587
"859",859,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs79983121","OR",0.015162,0.00248866,0.0736,0.054
"860",860,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs80216311","OR",-0.03363,0.00342838,0.0911,0.1048
"861",861,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs80276949","OR",0.045756,0.00669008,-0.6046,0.2161
"862",862,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs8046718","OR",-0.01324,0.00213084,-0.0088,0.0503
"863",863,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs8066985","OR",-0.01262,0.00198943,-0.1061,0.0495
"864",864,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs806973","OR",-0.01284,0.0020345,-0.0688,0.0539
"865",865,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs8102873","OR",0.01233,0.00201474,0.0296,0.048
"866",866,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs838133","OR",-0.02499,0.00205411,-0.0342,0.0497
"867",867,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs840974","OR",-0.01185,0.00200094,0.0268,0.051
"868",868,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs852388","OR",0.015712,0.00245601,-0.027,0.0731
"869",869,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs867939","OR",-0.0136,0.00202516,0.0094,0.048
"870",870,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs874744","OR",0.066146,0.00704755,-0.0028,0.1319
"871",871,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs878409","OR",-0.01128,0.00199958,0.0018,0.0481
"872",872,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs878521","OR",0.018492,0.00229084,-0.0062,0.0591
"873",873,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs879986","OR",0.035516,0.00519594,0.3023,0.2232
"874",874,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs880315","OR",-0.01177,0.00210497,-0.0729,0.0487
"875",875,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs917195","OR",-0.01308,0.00237698,-0.0509,0.0599
"876",876,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs921971","OR",0.01565,0.00225602,-0.169,0.0603
"877",877,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs933574","OR",0.012298,0.00199309,-0.1133,0.048
"878",878,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs935168","OR",0.014211,0.00208714,0.0375,0.0486
"879",879,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs9375694","OR",0.017729,0.00216018,0.1968,0.0549
"880",880,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs9376511","OR",-0.0155,0.00246511,-0.0185,0.0592
"881",881,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs9425589","OR",-0.01376,0.00200182,-0.072,0.0482
"882",882,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs9436661","OR",-0.07773,0.00207793,-0.0033,0.0543
"883",883,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs947799","OR",-0.01154,0.00207598,7e-04,0.049
"884",884,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs9480889","OR",0.016307,0.0024101,-0.0081,0.0695
"885",885,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs9496567","OR",-0.01378,0.0023173,-0.0839,0.0592
"886",886,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs954244","OR",0.015323,0.00227424,0.0287,0.0607
"887",887,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs9553567","OR",0.014993,0.00271462,0.1036,0.0681
"888",888,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs9561643","OR",0.016715,0.00214481,-0.0042,0.0492
"889",889,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs9584870","OR",-0.01236,0.00210377,0.0549,0.0511
"890",890,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs9610329","OR",0.013654,0.00205271,-0.0186,0.0484
"891",891,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs966541","OR",-0.01277,0.00222514,-0.0252,0.0525
"892",892,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs970069","OR",0.016232,0.00243455,-0.0647,0.0598
"893",893,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs9788220","OR",0.015841,0.00255728,0.0314,0.0682
"894",894,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs9817452","OR",-0.01846,0.00204925,0.03,0.0515
"895",895,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs9831084","OR",-0.01185,0.00199656,-0.0019,0.0495
"896",896,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs9832727","OR",-0.01418,0.00210037,-0.0688,0.0507
"897",897,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs9890200","OR",-0.01305,0.00205943,-0.0083,0.0509
"898",898,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs9894946","OR",-0.01827,0.00276651,0.0834,0.067
"899",899,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs9906319","OR",-0.0236,0.00391799,-0.1127,0.0794
"900",900,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs9923575","OR",-0.01548,0.00250887,-0.0273,0.0614
"901",901,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs9943778","OR",-0.01539,0.00235583,0.0866,0.055
"902",902,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs9970140","OR",-0.02567,0.00376851,0.0365,0.0882
