"","Author","Study_Ref","Study_DOI","Exposure","Outcome","Instrument","Reported_Measure","Coeff_G_X","Coeff_G_X_SE","Coeff_G_Y","Coeff_G_Y_SE"
"1778","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs78193153","OR",0.0191,0.0029,-0.0338,0.0164
"1779","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs7823700","OR",0.0132,0.0024,-0.0152,0.018
"1780","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs78365243","OR",0.0181,0.0033,0.019,0.0268
"1781","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs78440611","OR",-0.0147,0.0024,0.0228,0.0156
"1782","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs7849480","OR",-0.0084,0.0014,0.018,0.0094
"1783","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs7849487","OR",-0.0167,0.0015,-0.0149,0.0098
"1784","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs7855503","OR",0.0088,0.0015,0.0048,0.0098
"1785","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs78648104","OR",-0.0141,0.0025,0.0118,0.0168
"1786","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs78702390","OR",0.0167,0.003,-0.0148,0.0226
"1787","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs78714229","OR",0.0172,0.003,0.032,0.0217
"1788","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs7875078","OR",-0.0078,0.0014,0.0082,0.0095
"1789","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs78918150","OR",-0.008,0.0015,0.0048,0.0099
"1790","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs7894722","OR",0.0085,0.0014,7e-04,0.0099
"1791","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs7899270","OR",-0.0084,0.0015,0.0078,0.0101
"1792","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs7905192","OR",0.0084,0.0014,0.0284,0.0093
"1793","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs790647","OR",-0.0145,0.0017,-0.0077,0.0107
"1794","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs7910403","OR",0.0122,0.0018,-0.0048,0.0128
"1795","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs7914674","OR",-0.0139,0.0022,0.0041,0.0119
"1796","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs7920624","OR",0.012,0.0014,-0.0094,0.0092
"1797","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs7924036","OR",0.0133,0.0014,0.0061,0.0092
"1798","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs79265434","OR",-0.0197,0.0022,-5e-04,0.0162
"1799","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs7928017","OR",0.0096,0.0014,-0.0081,0.0095
"1800","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs7931563","OR",-0.0109,0.0014,0.0028,0.0096
"1801","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs795230","OR",0.0081,0.0014,-0.0045,0.0094
"1802","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs7958371","OR",-0.0085,0.0015,0.0145,0.0096
"1803","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs79585412","OR",-0.0178,0.0031,-0.0166,0.0214
"1804","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs7965154","OR",-0.0085,0.0015,-5e-04,0.0099
"1805","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs7967550","OR",-0.0086,0.0014,0.0068,0.0094
"1806","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs7972246","OR",0.011,0.0015,-0.0179,0.0097
"1807","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs79728014","OR",-0.0134,0.002,0.0073,0.0145
"1808","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs7974852","OR",0.0117,0.0014,-0.013,0.0093
"1809","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs7977614","OR",-0.0134,0.0016,0.031,0.0113
"1810","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs79798166","OR",0.0172,0.0025,0.0039,0.0199
"1811","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs79855925","OR",-0.0194,0.0033,-0.0026,0.0262
"1812","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs79994730","OR",0.024,0.0035,0.0198,0.0283
"1813","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs79997166","OR",0.0172,0.003,-0.011,0.0254
"1814","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs80037907","OR",-0.0107,0.0019,-0.001,0.0138
"1815","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs8008382","OR",-0.0106,0.0015,1e-100,0.0099
"1816","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs8009933","OR",0.0088,0.0015,0.0092,0.0097
"1817","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs8016504","OR",-0.0087,0.0014,0.0051,0.0097
"1818","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs80223410","OR",-0.0118,0.002,0.0172,0.0179
"1819","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs8024","OR",-0.0115,0.0015,0.0416,0.0101
"1820","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs80257979","OR",-0.0252,0.004,-0.0033,0.0285
"1821","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs8030487","OR",0.0085,0.0015,-0.0276,0.0104
"1822","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs803619","OR",-0.0173,0.0023,0.0223,0.0153
"1823","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs8046072","OR",0.0101,0.0018,-0.0054,0.0116
"1824","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs8052523","OR",-0.0084,0.0014,-0.0032,0.0101
"1825","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs8066044","OR",0.009,0.0016,-0.0187,0.0105
"1826","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs806816","OR",0.0101,0.0016,-0.0034,0.0113
"1827","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs8097125","OR",0.0086,0.0014,-0.0015,0.0099
"1828","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs8103741","OR",-0.0108,0.0019,0.0075,0.0133
"1829","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs818415","OR",-0.011,0.0018,0.0032,0.0112
"1830","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs8192465","OR",-0.0272,0.0049,-0.0044,0.0428
"1831","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs852771","OR",0.0092,0.0015,0.0074,0.0104
"1832","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs853286","OR",0.0124,0.0023,-0.0049,0.0131
"1833","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs854796","OR",0.009,0.0015,0.0043,0.01
"1834","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs868456","OR",0.0089,0.0015,0.0044,0.0104
"1835","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs870589","OR",-0.0079,0.0014,0.0156,0.0093
"1836","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs884108","OR",-0.0094,0.0017,-0.0138,0.0117
"1837","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs891793","OR",-0.0099,0.0014,-0.0071,0.0094
"1838","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs893522","OR",0.0149,0.0025,-0.0183,0.0168
"1839","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs902820","OR",-0.0096,0.0014,-0.0078,0.0096
"1840","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs911149","OR",0.0091,0.0017,-0.0094,0.0109
"1841","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs912883","OR",0.0087,0.0015,-0.0037,0.0098
"1842","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs913509","OR",0.0096,0.0015,-0.0077,0.0098
"1843","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs925161","OR",-0.0078,0.0014,-0.0033,0.0094
"1844","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9267658","OR",0.0138,0.002,-0.0496,0.017
"1845","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9267677","OR",0.018,0.0024,0.0231,0.0154
"1846","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9289300","OR",-0.0164,0.0019,0.0247,0.0129
"1847","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9291437","OR",-0.0081,0.0014,1e-100,0.0094
"1848","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9294770","OR",0.0083,0.0014,-0.0117,0.0095
"1849","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs929511","OR",-0.016,0.0021,0.0046,0.0138
"1850","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9300612","OR",0.0084,0.0015,0.0066,0.0097
"1851","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs933738","OR",-0.011,0.0018,0.0132,0.0122
"1852","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9349956","OR",-0.0159,0.0018,-0.0089,0.0126
"1853","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9359939","OR",-0.0105,0.0016,-0.0118,0.0105
"1854","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs936496","OR",-0.0079,0.0014,0.0015,0.0096
"1855","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9371883","OR",-0.0087,0.0015,0.0124,0.0098
"1856","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9373363","OR",-0.0111,0.0016,-0.0097,0.0107
"1857","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9375188","OR",0.0212,0.0014,-0.0012,0.0094
"1858","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9375403","OR",0.0126,0.0016,-0.0134,0.0113
"1859","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9386110","OR",-0.0163,0.0023,0.0106,0.0152
"1860","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9388490","OR",0.0091,0.0014,-0.0356,0.0097
"1861","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs939400","OR",-0.0095,0.0015,0.0047,0.0098
"1862","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9411331","OR",0.0145,0.0015,-0.0148,0.0097
"1863","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9435340","OR",0.0086,0.0015,-0.0111,0.0097
"1864","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9442750","OR",-0.0089,0.0016,-0.0017,0.0111
"1865","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9446060","OR",0.0077,0.0014,-4e-04,0.0094
"1866","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9465509","OR",-0.0084,0.0014,0.0109,0.0092
"1867","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9490512","OR",-0.0136,0.0014,8e-04,0.0094
"1868","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9492774","OR",0.008,0.0015,-0.024,0.0094
"1869","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9513416","OR",-0.0116,0.0019,0.0026,0.0137
"1870","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9513754","OR",0.0096,0.0016,0.0062,0.0111
"1871","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9527662","OR",0.0094,0.0014,0.0083,0.0101
"1872","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9527905","OR",-0.0094,0.0014,-0.0121,0.0093
"1873","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9529146","OR",0.0127,0.0017,-0.0037,0.0105
"1874","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9536462","OR",0.0133,0.002,-0.0102,0.013
"1875","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9540718","OR",-0.0089,0.0014,0.0191,0.0093
"1876","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9545395","OR",0.0138,0.0021,0.0037,0.013
"1877","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9556958","OR",-0.011,0.0014,-0.0053,0.0094
"1878","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9563168","OR",0.0101,0.0017,-0.01,0.0116
"1879","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9568798","OR",-0.0093,0.0016,0.0157,0.0103
"1880","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9597907","OR",0.0152,0.0027,0.0065,0.0163
"1881","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9611597","OR",-0.0107,0.0019,0.0147,0.0151
"1882","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9616906","OR",0.0122,0.0014,-0.0136,0.0098
"1883","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9616947","OR",-0.0134,0.0015,0.0233,0.0106
"1884","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9633970","OR",0.0091,0.0016,-0.0037,0.0109
"1885","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9649","OR",0.0108,0.0019,-0.015,0.0122
"1886","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9655780","OR",-0.0153,0.0019,-0.0204,0.0139
"1887","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9666728","OR",-0.0082,0.0014,-0.0051,0.0094
"1888","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9683585","OR",0.0084,0.0014,0.0019,0.0092
"1889","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs969512","OR",-0.0106,0.0015,0.0054,0.0095
"1890","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9771228","OR",0.0096,0.0015,-0.0181,0.0095
"1891","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs977143","OR",0.0085,0.0015,0.0024,0.0101
"1892","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs978807","OR",0.0139,0.0018,-0.0074,0.0116
"1893","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs981230","OR",0.01,0.0014,0.0109,0.0094
"1894","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs981883","OR",0.0099,0.0014,-0.0162,0.0095
"1895","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9820604","OR",0.0115,0.0018,-0.0055,0.0116
"1896","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9821664","OR",0.0094,0.0017,-0.01,0.0105
"1897","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9830359","OR",-0.0147,0.0022,0.0091,0.0145
"1898","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9844755","OR",0.0083,0.0015,0.0075,0.0099
"1899","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9849884","OR",-0.009,0.0014,0.0076,0.0098
"1900","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9853928","OR",-0.0127,0.0017,0.022,0.0105
"1901","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9858921","OR",-0.0087,0.0014,0.0031,0.0093
"1902","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9859556","OR",0.029,0.0015,-0.0431,0.0103
"1903","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9866123","OR",0.0086,0.0014,-0.0128,0.0096
"1904","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9870317","OR",0.0086,0.0015,-0.029,0.0097
"1905","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9877225","OR",0.009,0.0016,-0.008,0.0106
"1906","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9882532","OR",0.0124,0.0015,0.0021,0.01
"1907","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9886703","OR",-0.0136,0.0019,0.0333,0.0121
"1908","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9888796","OR",0.0113,0.0016,-0.0066,0.0107
"1909","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9916901","OR",0.0092,0.0016,-0.0218,0.01
"1910","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9924031","OR",0.0093,0.0015,0.0066,0.0104
"1911","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9926649","OR",0.0177,0.0031,-0.0121,0.0223
"1912","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9927049","OR",0.0099,0.0016,0.0127,0.0117
"1913","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9927137","OR",0.0082,0.0014,3e-04,0.0104
"1914","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9927842","OR",-0.013,0.002,0.0031,0.0127
"1915","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9929556","OR",-0.0099,0.0014,0.0123,0.0095
"1916","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9929762","OR",0.0096,0.0014,-7e-04,0.0093
"1917","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9929993","OR",-0.0102,0.0015,0.0011,0.0097
"1918","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9933256","OR",0.0119,0.0014,0.0077,0.011
"1919","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs995698","OR",-0.0099,0.0014,1e-04,0.0096
"1920","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9974899","OR",-0.0093,0.0016,0.0022,0.0107
"1921","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs9977825","OR",-0.0092,0.0015,0.026,0.0104
"1922","Choi et al","@choi_assessment_2019","10.1001/jamapsychiatry.2018.4175","Self-Reported Physical Activity","Major Depressive Disorder","rs10145335","OR",-0.014,0.003,-0.008,0.01
"1923","Choi et al","@choi_assessment_2019","10.1001/jamapsychiatry.2018.4175","Self-Reported Physical Activity","Major Depressive Disorder","rs10157145","OR",-0.012,0.002,-0.012,0.009
"1924","Choi et al","@choi_assessment_2019","10.1001/jamapsychiatry.2018.4175","Self-Reported Physical Activity","Major Depressive Disorder","rs1043595","OR",0.014,0.002,-0.003,0.01
"1925","Choi et al","@choi_assessment_2019","10.1001/jamapsychiatry.2018.4175","Self-Reported Physical Activity","Major Depressive Disorder","rs114243593","OR",0.027,0.005,0.021,0.024
"1926","Choi et al","@choi_assessment_2019","10.1001/jamapsychiatry.2018.4175","Self-Reported Physical Activity","Major Depressive Disorder","rs1186721","OR",-0.013,0.002,-0.008,0.01
"1927","Choi et al","@choi_assessment_2019","10.1001/jamapsychiatry.2018.4175","Self-Reported Physical Activity","Major Depressive Disorder","rs12912808","OR",0.018,0.003,0.017,0.013
"1928","Choi et al","@choi_assessment_2019","10.1001/jamapsychiatry.2018.4175","Self-Reported Physical Activity","Major Depressive Disorder","rs1921981","OR",0.013,0.002,-0.007,0.01
"1929","Choi et al","@choi_assessment_2019","10.1001/jamapsychiatry.2018.4175","Self-Reported Physical Activity","Major Depressive Disorder","rs1972763","OR",0.013,0.002,0.009,0.009
"1930","Choi et al","@choi_assessment_2019","10.1001/jamapsychiatry.2018.4175","Self-Reported Physical Activity","Major Depressive Disorder","rs1974771","OR",-0.021,0.004,0.008,0.014
"1931","Choi et al","@choi_assessment_2019","10.1001/jamapsychiatry.2018.4175","Self-Reported Physical Activity","Major Depressive Disorder","rs2035562","OR",-0.014,0.002,0.016,0.01
"1932","Choi et al","@choi_assessment_2019","10.1001/jamapsychiatry.2018.4175","Self-Reported Physical Activity","Major Depressive Disorder","rs2114286","OR",-0.012,0.002,-0.021,0.009
"1933","Choi et al","@choi_assessment_2019","10.1001/jamapsychiatry.2018.4175","Self-Reported Physical Activity","Major Depressive Disorder","rs2494664","OR",-0.012,0.002,-0.017,0.009
"1934","Choi et al","@choi_assessment_2019","10.1001/jamapsychiatry.2018.4175","Self-Reported Physical Activity","Major Depressive Disorder","rs2854277","OR",0.032,0.005,0.04,0.014
"1935","Choi et al","@choi_assessment_2019","10.1001/jamapsychiatry.2018.4175","Self-Reported Physical Activity","Major Depressive Disorder","rs2942127","OR",0.016,0.003,0.006,0.011
"1936","Choi et al","@choi_assessment_2019","10.1001/jamapsychiatry.2018.4175","Self-Reported Physical Activity","Major Depressive Disorder","rs2988004","OR",-0.013,0.002,0.013,0.009
"1937","Choi et al","@choi_assessment_2019","10.1001/jamapsychiatry.2018.4175","Self-Reported Physical Activity","Major Depressive Disorder","rs429358","OR",-0.022,0.003,0.037,0.015
"1938","Choi et al","@choi_assessment_2019","10.1001/jamapsychiatry.2018.4175","Self-Reported Physical Activity","Major Depressive Disorder","rs4886868","OR",-0.012,0.002,0.005,0.01
"1939","Choi et al","@choi_assessment_2019","10.1001/jamapsychiatry.2018.4175","Self-Reported Physical Activity","Major Depressive Disorder","rs527737","OR",-0.012,0.002,-0.012,0.009
"1940","Choi et al","@choi_assessment_2019","10.1001/jamapsychiatry.2018.4175","Self-Reported Physical Activity","Major Depressive Disorder","rs56293069","OR",0.014,0.003,-0.022,0.01
"1941","Choi et al","@choi_assessment_2019","10.1001/jamapsychiatry.2018.4175","Self-Reported Physical Activity","Major Depressive Disorder","rs67432617","OR",0.015,0.003,-0.006,0.011
"1942","Choi et al","@choi_assessment_2019","10.1001/jamapsychiatry.2018.4175","Self-Reported Physical Activity","Major Depressive Disorder","rs7326482","OR",-0.013,0.002,0.028,0.009
"1943","Choi et al","@choi_assessment_2019","10.1001/jamapsychiatry.2018.4175","Self-Reported Physical Activity","Major Depressive Disorder","rs77742115","OR",-0.018,0.003,0.002,0.012
"1944","Choi et al","@choi_assessment_2019","10.1001/jamapsychiatry.2018.4175","Self-Reported Physical Activity","Major Depressive Disorder","rs7804463","OR",0.015,0.002,0.021,0.009
"1945","Choi et al","@choi_assessment_2019","10.1001/jamapsychiatry.2018.4175","Self-Reported Physical Activity","Major Depressive Disorder","rs877483","OR",0.012,0.002,0.005,0.009
"1946","Choi et al","@choi_assessment_2019","10.1001/jamapsychiatry.2018.4175","Self-Reported Physical Activity","Major Depressive Disorder","rs921915","OR",-0.014,0.002,0.002,0.009
